               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069918,            0.036167,            0.078191,            0.034473,             0.21927,            0.053102,            0.023602,            0.040298,            0.015864,            0.058317,              0.0703,              0.0033,              0.0033
                   1,            0.047983,            0.026058,            0.073326,             0.24805,             0.28859,             0.07211,             0.03074,            0.036742,            0.013237,            0.056505,            0.040278,           0.0066114,           0.0066114
                   2,            0.043147,            0.022794,            0.072522,             0.22874,             0.36108,             0.10785,            0.057375,            0.029869,             0.01179,            0.055821,            0.010234,           0.0099009,           0.0099009
                   3,            0.037985,            0.021698,             0.07175,             0.29702,             0.34325,             0.12619,             0.07155,            0.027302,            0.012306,            0.055217,            0.009901,            0.009901,            0.009901
                   4,            0.034749,            0.020623,            0.070004,             0.25355,             0.32808,             0.16188,             0.10431,            0.024268,            0.011441,            0.052662,            0.009901,            0.009901,            0.009901
                   5,            0.032147,            0.020344,            0.066582,             0.66316,             0.27461,             0.28336,             0.20011,            0.020562,            0.011352,             0.04844,            0.009868,            0.009868,            0.009868
                   6,            0.032217,            0.019823,            0.062966,             0.59088,             0.37843,               0.378,             0.25441,            0.019622,            0.012301,            0.041605,            0.009835,            0.009835,            0.009835
                   7,            0.031313,            0.019897,            0.055351,             0.54353,             0.49402,             0.49406,             0.33833,            0.020559,            0.011407,            0.034412,            0.009802,            0.009802,            0.009802
                   8,            0.032093,            0.020005,            0.048128,             0.62285,             0.55444,             0.57626,             0.37887,            0.021116,               0.012,            0.032511,            0.009769,            0.009769,            0.009769
                   9,            0.031813,            0.019784,            0.043014,             0.74474,               0.604,             0.74402,              0.5235,            0.020776,              0.0117,            0.025589,            0.009736,            0.009736,            0.009736
                  10,            0.032805,            0.019683,            0.036998,             0.67791,             0.71986,             0.71541,             0.46282,            0.023382,            0.012382,            0.024783,            0.009703,            0.009703,            0.009703
                  11,            0.031851,            0.019472,             0.03211,             0.79695,              0.8061,             0.86692,             0.60528,             0.02246,             0.01117,            0.017655,             0.00967,             0.00967,             0.00967
                  12,            0.032799,            0.019198,            0.028065,             0.86572,             0.81412,             0.91607,             0.62336,            0.020874,            0.011377,            0.017684,            0.009637,            0.009637,            0.009637
                  13,            0.032455,            0.019336,            0.024806,             0.83419,             0.84042,             0.89386,             0.63016,            0.020694,            0.011632,              0.0156,            0.009604,            0.009604,            0.009604
                  14,            0.030926,            0.018979,              0.0227,             0.82645,             0.86894,             0.91404,             0.67561,            0.020392,            0.011442,            0.018304,            0.009571,            0.009571,            0.009571
                  15,            0.031514,            0.019144,            0.022144,             0.88786,             0.86354,             0.93496,             0.63056,            0.021872,            0.013175,            0.011285,            0.009538,            0.009538,            0.009538
                  16,            0.031155,            0.019082,            0.020353,             0.88339,             0.88185,             0.93532,             0.67498,            0.019499,            0.012033,            0.011453,            0.009505,            0.009505,            0.009505
                  17,            0.031511,            0.019006,            0.019695,             0.90819,             0.85185,              0.9313,              0.6685,            0.021773,             0.01154,            0.011253,            0.009472,            0.009472,            0.009472
                  18,            0.030824,            0.019047,            0.017984,             0.91032,             0.93327,             0.96626,             0.67969,            0.021027,            0.011787,           0.0074211,            0.009439,            0.009439,            0.009439
                  19,            0.030124,            0.019106,            0.017181,             0.88298,             0.91623,             0.93705,             0.67539,             0.02024,            0.011803,            0.010043,            0.009406,            0.009406,            0.009406
                  20,            0.029853,            0.019009,            0.016722,             0.94994,             0.91954,             0.96688,             0.71041,            0.019415,            0.010787,           0.0068892,            0.009373,            0.009373,            0.009373
                  21,            0.029587,            0.019037,            0.016639,             0.88161,             0.88255,              0.9265,             0.66336,            0.020757,            0.011476,            0.012288,             0.00934,             0.00934,             0.00934
                  22,            0.029259,            0.019005,            0.015993,             0.92336,             0.90475,             0.96104,             0.70338,            0.018943,            0.011067,           0.0076686,            0.009307,            0.009307,            0.009307
                  23,            0.028402,            0.018486,            0.015139,             0.94077,             0.94264,             0.97269,              0.7175,            0.018738,            0.010865,           0.0071433,            0.009274,            0.009274,            0.009274
                  24,            0.029348,              0.0186,             0.01531,             0.93411,             0.91202,               0.963,             0.71393,            0.019787,            0.011378,           0.0080233,            0.009241,            0.009241,            0.009241
                  25,            0.028775,            0.018363,            0.014171,             0.90988,              0.9209,             0.95035,             0.72555,             0.01802,             0.01064,           0.0070013,            0.009208,            0.009208,            0.009208
                  26,            0.028577,            0.018094,            0.014248,             0.90743,             0.92225,             0.95674,             0.71563,            0.016496,            0.011431,            0.010677,            0.009175,            0.009175,            0.009175
                  27,            0.028363,            0.018265,            0.014852,             0.93119,             0.93064,             0.96976,             0.70646,            0.017605,            0.011139,           0.0063728,            0.009142,            0.009142,            0.009142
                  28,            0.027653,            0.018358,            0.014103,             0.93671,             0.95187,             0.97336,             0.72736,            0.016708,            0.011187,           0.0050775,            0.009109,            0.009109,            0.009109
                  29,            0.027729,            0.018199,            0.012408,             0.97009,             0.95324,             0.97956,             0.73651,            0.017672,            0.010806,            0.004517,            0.009076,            0.009076,            0.009076
                  30,            0.027045,            0.017927,            0.011549,             0.97024,             0.95631,             0.98121,             0.73679,            0.018296,             0.01066,           0.0055364,            0.009043,            0.009043,            0.009043
                  31,             0.02701,            0.017426,            0.012859,             0.92518,             0.92257,             0.96882,             0.72687,            0.018031,            0.010579,           0.0064949,             0.00901,             0.00901,             0.00901
                  32,            0.027117,            0.017745,            0.013307,             0.95792,             0.94762,             0.97659,             0.73512,            0.017386,            0.010749,           0.0053261,            0.008977,            0.008977,            0.008977
                  33,            0.027533,            0.017856,            0.011309,             0.95546,             0.96545,             0.97438,             0.74612,            0.017678,            0.010375,           0.0041772,            0.008944,            0.008944,            0.008944
                  34,            0.026437,            0.017305,             0.01213,             0.94575,             0.96374,             0.97805,             0.73666,            0.017748,            0.010449,           0.0050513,            0.008911,            0.008911,            0.008911
                  35,            0.027059,            0.017395,            0.012183,             0.93797,              0.9386,              0.9735,             0.74072,            0.017486,            0.010565,            0.006062,            0.008878,            0.008878,            0.008878
                  36,            0.026415,            0.017552,            0.011735,             0.95792,             0.95742,             0.98309,             0.76351,            0.017266,            0.010155,           0.0051607,            0.008845,            0.008845,            0.008845
                  37,            0.026418,            0.017237,            0.011419,             0.94269,             0.95789,              0.9762,              0.7433,            0.017628,            0.010274,           0.0042917,            0.008812,            0.008812,            0.008812
                  38,             0.02547,            0.017316,             0.01118,             0.94732,             0.95678,             0.98108,             0.75545,            0.017792,            0.010103,           0.0047184,            0.008779,            0.008779,            0.008779
                  39,            0.026355,            0.017007,            0.010669,             0.94822,             0.94565,             0.97685,              0.7384,            0.017662,            0.010665,            0.009885,            0.008746,            0.008746,            0.008746
                  40,             0.02609,            0.017451,            0.011472,             0.91988,             0.94374,             0.95434,             0.73726,            0.016366,            0.010824,           0.0052212,            0.008713,            0.008713,            0.008713
                  41,            0.026382,            0.017291,            0.010827,             0.95129,             0.95874,             0.98202,             0.74872,            0.016445,            0.010183,           0.0046362,             0.00868,             0.00868,             0.00868
                  42,            0.025417,            0.017556,             0.01017,             0.96396,             0.94882,             0.97703,             0.75997,            0.016891,            0.010255,           0.0039924,            0.008647,            0.008647,            0.008647
                  43,            0.025244,            0.017133,            0.011092,             0.96298,             0.96169,             0.97622,             0.76657,            0.017048,            0.010095,            0.003556,            0.008614,            0.008614,            0.008614
                  44,            0.024898,            0.016906,            0.010995,             0.92927,             0.95565,             0.97601,             0.74807,            0.017796,            0.010082,           0.0041977,            0.008581,            0.008581,            0.008581
                  45,            0.025311,            0.016942,            0.010456,             0.95755,             0.94296,             0.97427,             0.76054,            0.016263,            0.010405,           0.0038273,            0.008548,            0.008548,            0.008548
                  46,             0.02498,            0.016958,            0.011303,               0.966,             0.96716,             0.98122,             0.76481,            0.015502,           0.0097585,            0.003763,            0.008515,            0.008515,            0.008515
                  47,            0.025115,            0.016655,            0.010968,             0.94251,             0.92951,             0.96738,              0.7484,            0.017511,            0.010431,           0.0044387,            0.008482,            0.008482,            0.008482
                  48,            0.024544,              0.0165,             0.01088,             0.95948,             0.97172,             0.98283,             0.76151,            0.016184,            0.010238,           0.0038461,            0.008449,            0.008449,            0.008449
                  49,            0.024416,            0.016908,            0.010359,             0.95297,             0.95112,             0.98003,             0.76384,            0.017024,            0.010156,           0.0037406,            0.008416,            0.008416,            0.008416
                  50,            0.024336,            0.016673,           0.0099695,             0.96255,             0.95444,             0.97739,             0.76541,            0.016862,            0.010134,           0.0038706,            0.008383,            0.008383,            0.008383
                  51,            0.024469,            0.016904,            0.009476,             0.93589,             0.95995,             0.97651,             0.76002,            0.016322,            0.010129,           0.0049372,             0.00835,             0.00835,             0.00835
                  52,            0.025098,            0.016287,           0.0096338,             0.95434,             0.96529,             0.98057,             0.76731,            0.015947,           0.0098462,           0.0032954,            0.008317,            0.008317,            0.008317
                  53,            0.024904,            0.016456,           0.0098277,             0.96076,             0.96426,             0.98016,             0.77221,            0.015861,           0.0096035,           0.0033504,            0.008284,            0.008284,            0.008284
                  54,            0.024104,            0.016583,           0.0088519,             0.96556,             0.96302,             0.98116,             0.78169,            0.015985,           0.0094482,           0.0035067,            0.008251,            0.008251,            0.008251
                  55,            0.024435,            0.016421,           0.0094308,             0.96299,             0.95403,             0.98102,             0.77578,            0.015728,           0.0097018,           0.0035619,            0.008218,            0.008218,            0.008218
                  56,            0.024022,            0.016517,           0.0097743,             0.96591,             0.97651,             0.98434,             0.77148,            0.015936,           0.0093934,           0.0037511,            0.008185,            0.008185,            0.008185
                  57,            0.023275,            0.016011,           0.0088996,             0.95987,             0.97585,             0.98382,             0.78153,            0.015967,           0.0095223,           0.0034148,            0.008152,            0.008152,            0.008152
                  58,            0.024549,            0.016582,           0.0095784,             0.94965,             0.96669,             0.97825,             0.77316,            0.016186,            0.010008,           0.0035661,            0.008119,            0.008119,            0.008119
                  59,            0.023805,            0.016368,           0.0091329,             0.96514,             0.96471,             0.97883,             0.77653,            0.016178,            0.010045,           0.0035027,            0.008086,            0.008086,            0.008086
                  60,            0.023364,            0.015885,           0.0092833,             0.95697,             0.97092,             0.98618,             0.78571,             0.01541,           0.0095488,           0.0031251,            0.008053,            0.008053,            0.008053
                  61,            0.023971,             0.01592,            0.009089,             0.97292,             0.96123,             0.98105,             0.78305,            0.014298,           0.0094168,           0.0032806,             0.00802,             0.00802,             0.00802
                  62,            0.023187,            0.016484,           0.0081721,             0.97484,             0.96886,             0.98126,             0.78193,            0.015138,           0.0094453,           0.0037776,            0.007987,            0.007987,            0.007987
                  63,            0.023043,            0.015775,           0.0097415,             0.96787,              0.9619,             0.98244,             0.78095,             0.01491,           0.0095568,           0.0029816,            0.007954,            0.007954,            0.007954
                  64,            0.023554,            0.015838,           0.0092099,             0.95909,             0.95047,             0.97752,             0.78931,            0.014845,           0.0095237,           0.0038618,            0.007921,            0.007921,            0.007921
                  65,            0.023114,            0.015691,           0.0085861,             0.97388,             0.95823,             0.98441,             0.79215,            0.014667,           0.0093699,           0.0030702,            0.007888,            0.007888,            0.007888
                  66,            0.023357,            0.016475,           0.0089617,             0.97472,             0.96021,             0.97554,             0.78349,            0.015932,           0.0095593,           0.0029702,            0.007855,            0.007855,            0.007855
                  67,            0.023003,            0.016245,           0.0082657,             0.95373,             0.94832,             0.97807,             0.78483,            0.015276,           0.0094188,           0.0037648,            0.007822,            0.007822,            0.007822
                  68,            0.022714,            0.015713,           0.0084682,             0.95733,             0.96343,             0.98304,             0.78126,            0.014815,           0.0093421,           0.0031396,            0.007789,            0.007789,            0.007789
                  69,            0.023099,            0.015852,           0.0083648,             0.95457,             0.95744,             0.97692,             0.79138,            0.015085,           0.0094256,           0.0034055,            0.007756,            0.007756,            0.007756
                  70,            0.022792,            0.016066,           0.0078098,             0.96817,             0.95762,             0.97769,             0.77947,            0.015701,           0.0096316,           0.0035023,            0.007723,            0.007723,            0.007723
